id,source,word_count,processed_lang,tree__id,tree__name,tree__children__id,tree__children__name,tree__children__category,tree__children__children__id,tree__children__children__name,tree__children__children__category,tree__children__children__percentage,tree__children__children__children__id,tree__children__children__children__name,tree__children__children__children__category,tree__children__children__children__percentage,tree__children__children__children__sampling_error,tree__children__children__children__children__id,tree__children__children__children__children__name,tree__children__children__children__children__category,tree__children__children__children__children__percentage,tree__children__children__children__children__sampling_error
,,,,,,,,,,,,,Neuroticism,Emotional range,personality,0.305087012,0.075795821,Anger,Fiery,personality,0.574548117,0.080151674
,,,,,,,,,,,,,,,,,,Anxiety,Prone to worry,personality,0.693564081,0.04467738
,,,,,,,,,,,,,,,,,,Depression,Melancholy,personality,0.749595385,0.046976789
,,,,,,,,,,,,,,,,,,Immoderation,Immoderation,personality,0.637610929,0.046665855
,,,,,,,,,,,,,,,,,,Self-consciousness,Self-consciousness,personality,0.832918352,0.046177251
,,,,,,,,,,,,,,,,,,Vulnerability,Susceptible to stress,personality,0.805832422,0.069312126
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tuesday,Tuesday,behavior,0,
,,,,,,,,,,,,,,,,,,Wednesday,Wednesday,behavior,0,
,,,,,,,,,,,,,,,,,,Thursday,Thursday,behavior,0,
,,,,,,,,,,,,,,,,,,Friday,Friday,behavior,0.118404118,
,,,,,,,,,,,,,,,,,,Saturday,Saturday,behavior,0.853281853,
,,,,,,,,,,,,,5:00 pm_parent,Afternoon,behavior,0.114543115,,12:00 AM,12:00 AM,behavior,0.065637066,
,,,,,,,,,,,,,,,,,,1:00 AM,1:00 AM,behavior,0.064350064,
,,,,,,,,,,,,,,,,,,2:00 AM,2:00 AM,behavior,0.034749035,
,,,,,,,,,,,,,,,,,,3:00 AM,3:00 AM,behavior,0.02960103,
,,,,,,,,,,,,,,,,,,4:00 AM,4:00 AM,behavior,0.007722008,
,,,,,,,,,,,,,,,,,,5:00 AM,5:00 AM,behavior,0.003861004,
,,,,,,,,,,,,,,,,,,6:00 AM,6:00 AM,behavior,0.046332046,
,,,,,,,,,,,,,,,,,,7:00 AM,7:00 AM,behavior,0.033462033,
,,,,,,,,,,,,,,,,,,8:00 AM,8:00 AM,behavior,0.069498069,
,,,,,,,,,,,,,,,,,,9:00 AM,9:00 AM,behavior,0.038610039,
,,,,,,,,,,,,,,,,,,10:00 AM,10:00 AM,behavior,0.086229086,
,,,,,,,,,,,,,,,,,,11:00 AM,11:00 AM,behavior,0.030888031,
,,,,,,,,,,,,,,,,,,12:00 PM,12:00 PM,behavior,0.077220077,
,,,,,,,,,,,,,,,,,,1:00 PM,1:00 PM,behavior,0.047619048,
,,,,,,,,,,,,,,,,,,2:00 PM,2:00 PM,behavior,0.023166023,
,,,,,,,,,,,,,,,,,,3:00 PM,3:00 PM,behavior,0.033462033,
,,,,,,,,,,,,,,,,,,4:00 PM,4:00 PM,behavior,0.038610039,
,,,,,,,,,,,,,,,,,,5:00 PM,5:00 PM,behavior,0.114543115,
,,,,,,,,,,,,,,,,,,6:00 PM,6:00 PM,behavior,0.027027027,
,,,,,,,,,,,,,,,,,,7:00 PM,7:00 PM,behavior,0.009009009,
,,,,,,,,,,,,,,,,,,8:00 PM,8:00 PM,behavior,0.002574003,
,,,,,,,,,,,,,,,,,,9:00 PM,9:00 PM,behavior,0.003861004,
,,,,,,,,,,,,,,,,,,10:00 PM,10:00 PM,behavior,0.061776062,
,,,,,,,,,,,,,,,,,,11:00 PM,11:00 PM,behavior,0.05019305,
